name,iters,ns,cpu-ns,profiles,profile-bytes,concurrency
cgo,53,1011215045,999931000,cpu,715,1
json,378,1000892761,1185935000,cpu,7025,1
http,16685,996820552,1608024000,cpu,2914,1
cgo,106,2016247623,2018596000,cpu,890,1
json,761,2002140094,2410477000,cpu,10263,1
http,34032,1993992982,3256922000,cpu,3087,1
cgo,213,4011330783,4016963000,cpu,716,1
json,1524,4000025832,4863944000,cpu,13326,1
http,60197,3989138529,6076994000,cpu,4763,1
cgo,413,8012659882,7829891000,cpu,718,1
json,2998,7999314203,9746882000,cpu,18631,1
http,137977,7976938100,12954653000,cpu,5885,1
cgo,859,16005265875,15982272000,cpu,720,1
json,6070,15998462744,19825288000,cpu,28158,1
http,273186,15954288611,26034515000,cpu,7668,1
cgo,1723,32012580568,32064818000,cpu,890,1
json,11985,31994757906,39000193000,cpu,38930,1
http,547444,31908270800,51983707000,cpu,9392,1
cgo,3432,64013139957,63852860000,cpu,893,1
json,24020,63986895087,77762690000,cpu,56030,1
http,1083927,63820024223,103904841000,cpu,13176,1
